country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
United Kingdom,2021-05-28,NA,estimate,1.24580996547772,1.24881546316615,0.12220687874948,1.05734444971399,1.16479881278315,1.21496110590422,1.2751304531282,1.32788429162005,1.45611200994966
United Kingdom,2021-05-29,NA,estimate,1.28168513956991,1.28442626289644,0.0897957538907449,1.13894364473522,1.22493192231043,1.26024721343036,1.30508410908443,1.3411713912065,1.43734025429215
United Kingdom,2021-05-30,NA,estimate,1.308878918207,1.30999498456637,0.0672656001107421,1.19976990521676,1.2650602151625,1.29207338553463,1.32661088653284,1.35495730523487,1.42156030927716
United Kingdom,2021-05-31,NA,estimate,1.32315326954032,1.32259120190278,0.0558835495030893,1.23093966840481,1.28586121592865,1.30862005902459,1.3362181159941,1.35900045675287,1.41500114361699
United Kingdom,2021-06-01,NA,estimate,1.32088677434821,1.32107979040237,0.0517493917805896,1.23764280014891,1.28652495528788,1.30756321472393,1.33371336263473,1.35414491763301,1.40605072989605
United Kingdom,2021-06-02,NA,estimate,1.30474565146861,1.30631969740976,0.0494691418147733,1.22755827150508,1.2730589487858,1.29265081854433,1.31752993536629,1.3386719545797101,1.39071028238305
United Kingdom,2021-06-03,NA,estimate,1.27996884997656,1.28086790177503,0.0468219910461129,1.20656290219858,1.248969827798,1.26902743789061,1.29177909360841,1.31174258606417,1.35788314648648
United Kingdom,2021-06-04,NA,estimate,1.24795681042208,1.24834038204805,0.0441687318815313,1.17849505248897,1.21780374349482,1.23782771837324,1.258537270234,1.27768734194744,1.32192776715298
United Kingdom,2021-06-05,NA,estimate,1.21282854210395,1.21269105355027,0.0422540785266961,1.14585647776045,1.1840210359737,1.20172058077496,1.22273377807962,1.24094491917712,1.28436636758963
United Kingdom,2021-06-06,NA,estimate,1.17623529265988,1.17762836161727,0.0410512246521676,1.1121086144569,1.14999569466251,1.16661711321074,1.18664181112378,1.20443746578728,1.24744355383121
United Kingdom,2021-06-07,NA,estimate,1.14522033436067,1.14626530159362,0.0399939419562875,1.08177064655509,1.11909426209984,1.13494039859294,1.15551141504766,1.17250491773439,1.21353300109268
United Kingdom,2021-06-08,NA,estimate,1.12014256063634,1.12098584293283,0.0387048465282928,1.05875493760888,1.09469246388072,1.11020056791622,1.12994527112316,1.14630653390849,1.18569767326658
United Kingdom,2021-06-09,NA,estimate,1.10275101401837,1.10345610831568,0.0373266234424578,1.04399948455965,1.07835562702654,1.09347594423442,1.11183666324866,1.12812455764864,1.16758122462987
