country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
United Kingdom,2021-08-06,NA,estimate,0.967871481958297,0.964077697116004,0.0730368220587273,0.837658315372502,0.918790214828098,0.950353817192256,0.985196642896739,1.01318862714768,1.07671969412459
United Kingdom,2021-08-07,NA,estimate,0.977088812316669,0.974995949846151,0.0601392123677438,0.872001876345216,0.937013345983995,0.963000828102354,0.992137239027055,1.01526911202956,1.06849469137901
United Kingdom,2021-08-08,NA,estimate,0.988615186884774,0.987493966902459,0.048599470025791,0.905491975756457,0.955618235699063,0.976321165195893,1.00088684455292,1.01998852636073,1.06509401541213
United Kingdom,2021-08-09,NA,estimate,1.00115176030987,1.00082175365709,0.0391976242657599,0.935672769937484,0.975314333690224,0.991793416527258,1.01088743232604,1.02683575937714,1.0643066897248
United Kingdom,2021-08-10,NA,estimate,1.01447715738239,1.01401452152031,0.0330863820797048,0.958890764788182,0.992529097633254,1.00581769824738,1.02206166643702,1.03662330970241,1.06805064920065
United Kingdom,2021-08-11,NA,estimate,1.02551202227415,1.02599904745608,0.0309049162189257,0.975979124790344,1.00511981180491,1.01825269973865,1.03313709514279,1.04579080676427,1.07808730466581
United Kingdom,2021-08-12,NA,estimate,1.03460471281474,1.03574518039502,0.0315220782198639,0.986952716689972,1.01426202358825,1.02657743129269,1.04172301663399,1.05477725790026,1.09053471844171
United Kingdom,2021-08-13,NA,estimate,1.03920003825895,1.04244307957316,0.0326869242553015,0.99449160599324,1.0204094575903,1.03190296274223,1.04749557023218,1.06120248826341,1.10100430923284
United Kingdom,2021-08-14,NA,estimate,1.04223714868169,1.04566836938276,0.0327109692183451,0.99779309921458,1.02394444485964,1.03494753186113,1.04991849835589,1.06412204799856,1.10566395483386
United Kingdom,2021-08-15,NA,estimate,1.04254466185768,1.04548783406179,0.0311046448807289,0.998743083501919,1.02501122008196,1.03583239657281,1.05041063580997,1.06298536297445,1.10071213503979
United Kingdom,2021-08-16,NA,estimate,1.04121846023649,1.04246780162643,0.0285584960312777,0.9985629402816,1.02376223978343,1.03440410517155,1.04851335924476,1.05926702905911,1.09151735423624
United Kingdom,2021-08-17,NA,estimate,1.03733680474531,1.03757627595355,0.0266654661447271,0.994281930096017,1.02042554389691,1.03076705391651,1.04415412186915,1.05447894044094,1.08145985266503
United Kingdom,2021-08-18,NA,estimate,1.03281700000768,1.03200496701335,0.0269346845708765,0.985629494755819,1.01543505469878,1.02589800378736,1.03909943850225,1.05001168121399,1.07517405600149
United Kingdom,2021-08-19,NA,estimate,1.02847914033628,1.0269599049423,0.0292924420421261,0.975235699571486,1.00920126344592,1.02165380557093,1.03558459357681,1.04689579791851,1.07221344708913
United Kingdom,2021-08-20,NA,estimate,1.02699243745124,1.02346886086589,0.0321798831389451,0.965549894616118,1.00412970984455,1.0189707479616401,1.03380669179389,1.04519077899041,1.07208284065146
United Kingdom,2021-08-21,NA,estimate,1.02594190204493,1.02223509283118,0.0339845037691818,0.959695143039372,1.00219036834401,1.0181727183243101,1.03353462647914,1.04510854763443,1.07238052643271
United Kingdom,2021-08-22,NA,estimate,1.02771879837137,1.02354434910021,0.033791282232606,0.960577831974822,1.00409187695272,1.01939538373406,1.03486135839526,1.04584680321404,1.0731320707492
United Kingdom,2021-08-23,NA,estimate,1.03037978341997,1.02721845751742,0.0315445626266664,0.969833839989047,1.00912305440586,1.02282353286795,1.03728556267529,1.04825475016907,1.07510419390788
United Kingdom,2021-08-24,NA,estimate,1.03355615369673,1.03260881652944,0.0282161998972656,0.983613118533548,1.01592640120481,1.02683031824774,1.04036047340097,1.05141024924565,1.0768430176356
United Kingdom,2021-08-25,NA,estimate,1.03855737599111,1.03863315285136,0.0259934729509095,0.99579215249478,1.02139970150608,1.0316558812123,1.04487123015746,1.05578151933792,1.08159368806364
United Kingdom,2021-08-26,NA,estimate,1.04240602100751,1.04387053163113,0.0272796587837917,1.00187780220194,1.02440437637586,1.03557060469217,1.04934101821849,1.06157893513051,1.09162085153052
United Kingdom,2021-08-27,NA,estimate,1.04405183345476,1.04673233776638,0.0319147280058907,0.999315660806887,1.02421580846686,1.0359718380158,1.0523854321694,1.06736479810728,1.104261662817
United Kingdom,2021-08-28,NA,estimate,1.04156011284312,1.04571198352095,0.0372787656389627,0.99244863208099,1.01821259544354,1.0318459646547,1.05158725707681,1.06865631537713,1.11382379455939
United Kingdom,2021-08-29,NA,estimate,1.0341215082459,1.03968252301013,0.0408451142934776,0.983065472903065,1.00931301040422,1.02368296237566,1.04522059256349,1.06517571377073,1.11679707576641
United Kingdom,2021-08-30,NA,estimate,1.02250729529237,1.02817254302289,0.0411745921001191,0.971424268178664,0.997203255278105,1.01161843285107,1.03307030549051,1.05350768648037,1.10544118046664
United Kingdom,2021-08-31,NA,estimate,1.00616709698215,1.01153229543001,0.0380372808276918,0.958961829100961,0.983546652443147,0.99698313599695,1.01562502231666,1.03432665164932,1.08398777946809
United Kingdom,2021-09-01,NA,estimate,0.986872083714233,0.990925497673393,0.0324728832284388,0.945138836054929,0.968140364416207,0.979554363424655,0.994716242262841,1.00992361659992,1.05182650275641
United Kingdom,2021-09-02,NA,estimate,0.966179429914465,0.968143613861541,0.0269372183906744,0.927428979927614,0.949658017210839,0.960175539986003,0.972885221200673,0.984671023105605,1.01681123733484
United Kingdom,2021-09-03,NA,estimate,0.945199581491325,0.945305815030361,0.02497007772686,0.904316314705136,0.928285131775491,0.938949966105032,0.951690058835386,0.962437715884681,0.986410947878335
United Kingdom,2021-09-04,NA,estimate,0.925517204433345,0.924540699598507,0.0280848974925235,0.876370294468614,0.905737788050812,0.91850755727244,0.932645582934129,0.944348015636745,0.968485267629925
United Kingdom,2021-09-05,NA,estimate,0.909475269286214,0.90773095869057,0.0337212873299084,0.847567821664873,0.885523479454842,0.900369917045154,0.917927072960899,0.931872067717161,0.959678171215192
United Kingdom,2021-09-06,NA,estimate,0.898523856156042,0.89635671540449,0.0389110400595294,0.827637622452551,0.870413621203619,0.888708650175481,0.909040050215222,0.924711953139395,0.955511405906553
United Kingdom,2021-09-07,NA,estimate,0.893718094420148,0.891427346211154,0.0420118561367114,0.818052477920807,0.863358506172581,0.883116499455172,0.905237792813094,0.922651232128625,0.954414202635294
United Kingdom,2021-09-08,NA,estimate,0.896034174281804,0.89346579046547,0.0423222075187513,0.819268368031681,0.864439391163305,0.885107681587409,0.907567914565012,0.925795476659556,0.956113211181324
United Kingdom,2021-09-09,NA,estimate,0.905381168634415,0.902507278808288,0.0397570553435065,0.832818090734932,0.875250418565859,0.894300499373429,0.9162504628691,0.932747581454277,0.961471973350727
United Kingdom,2021-09-10,NA,estimate,0.921271087297999,0.918089079476645,0.0348312701312106,0.8573504087367,0.894293714738299,0.911319184837299,0.930002884884053,0.944196167269085,0.969634336275685
United Kingdom,2021-09-11,NA,estimate,0.941759773766068,0.939230410198766,0.0289672398513407,0.887973874113898,0.920686028482668,0.933896088662004,0.948669664881137,0.960078346340981,0.982922328504008
United Kingdom,2021-09-12,NA,estimate,0.965564478059474,0.964424804082765,0.0250859821757889,0.921063342461752,0.948795305597241,0.959367001238697,0.971429740749112,0.980927835178158,1.00410225489048
United Kingdom,2021-09-13,NA,estimate,0.990096560757715,0.9916837932056,0.0265591620185354,0.950939288320858,0.974195213773015,0.983947627761044,0.9967317922535,1.00785466980834,1.03817659856987
United Kingdom,2021-09-14,NA,estimate,1.01515061667559,1.01867213686591,0.0327588571678462,0.971071137481281,0.995359887860927,1.00756377345669,1.02313047356024,1.03824646101138,1.07827983761105
United Kingdom,2021-09-15,NA,estimate,1.03883285381253,1.04295357129059,0.0399996334624027,0.985513909339138,1.01339781565123,1.02836162424207,1.04892693399398,1.06750176355399,1.11631455489758
United Kingdom,2021-09-16,NA,estimate,1.05770624805325,1.062323526873,0.045438322548348,0.995862920809003,1.02808251470347,1.04655152217143,1.07015637946796,1.09122437302772,1.14653647614405
United Kingdom,2021-09-17,NA,estimate,1.07109379033836,1.07515765086776,0.0475934929671011,1.00507366862581,1.0387578669470099,1.05902700477825,1.08445851499263,1.10644212316358,1.16074699759368
United Kingdom,2021-09-18,NA,estimate,1.07758032029517,1.08067896003004,0.0460798852694615,1.01165739959603,1.0460571130219,1.06571044975241,1.09083561747377,1.11130383638413,1.16241873003374
United Kingdom,2021-09-19,NA,estimate,1.07696433946949,1.07906227185649,0.0414672574998986,1.01519313678056,1.04813039941394,1.06650653708621,1.08781496654136,1.10673241908729,1.15034731296337
United Kingdom,2021-09-20,NA,estimate,1.06946436531766,1.07134876920494,0.0351798089998043,1.01643459162152,1.04619259768221,1.06091277028793,1.07884177471528,1.094632828203,1.13188744453328
United Kingdom,2021-09-21,NA,estimate,1.0574562245858,1.05920837779522,0.0293948882581142,1.0136529912121,1.03907135078618,1.05035340119587,1.0649079656865,1.07756859243938,1.11053209363345
United Kingdom,2021-09-22,NA,estimate,1.04385648908956,1.04463001997128,0.0265537602171375,1.00223088939228,1.02706765666405,1.03748381228207,1.04976016729226,1.06101984625893,1.09005448475606
United Kingdom,2021-09-23,NA,estimate,1.03062868382044,1.02962361860606,0.0275852087733883,0.981914446572925,1.0133789218535,1.02440699374093,1.03675130660331,1.04764320752189,1.07291263883017
